prev_token,next_token,prev_len,next_len,is_digit_before,label
endirib,,7,0,0,0
açıqlayıb,,9,0,0,0
daşıyır,,7,0,0,0
edir,,4,0,0,0
edilir,,6,0,0,0
verilir,,7,0,0,0
axıdılır,,8,0,0,0
olunur,,6,0,0,0
olub,,4,0,0,0
apasport,az,8,2,0,0
yayıb,,5,0,0,0
bildirilib,,10,0,0,0
çıxarılıb,,9,0,0,0
olub,,4,0,0,0
edib,,4,0,0,0
tutacaq,,7,0,0,0
olub,,4,0,0,0
ölüb,,4,0,0,0
açıqlanıb,,9,0,0,0
məxsusdur,,9,0,0,0
gedib,,5,0,0,0
bildirib,,8,0,0,0
paylaşıb,,8,0,0,0
olub,,4,0,0,0
dinləyib,,8,0,0,0
keçirilib,,9,0,0,0
səsləndiriblər,,14,0,0,0
ediblər,,7,0,0,0
deyib,,5,0,0,0
pozur,,5,0,0,0
ediblər,,7,0,0,0
keçirəcək,,9,0,0,0
apasport,az,8,2,0,0
qarşılaşacaq,,12,0,0,0
başlayacaq,,10,0,0,0
gətirilib,,9,0,0,0
olub,,4,0,0,0
saxlanılıb,,10,0,0,0
olub,,4,0,0,0
aparılır,,8,0,0,0
edib,,4,0,0,0
saxlanılıb,,10,0,0,0
bildirib,,8,0,0,0
tutulub,,7,0,0,0
edib,,4,0,0,0
yayıb,,5,0,0,0
aparıb,,6,0,0,0
edib,,4,0,0,0
qazandırıb,,10,0,0,0
vurub,,5,0,0,0
deyib,,5,0,0,0
vurğulayıb,,10,0,0,0
reseptidir,,10,0,0,0
olar,,4,0,0,0
edib,,4,0,0,0
,,0,0,0,0
ölüb,,4,0,0,0
alınıb,,6,0,0,0
edib,,4,0,0,0
aparılır,,8,0,0,0
olub,,4,0,0,0
verib,,5,0,0,0
,,0,0,0,0
,,0,0,1,0
saxlanılıb,,10,0,0,0
edilib,,6,0,0,0
tapşırılıb,,10,0,0,0
keçirilib,,9,0,0,0
edib,,4,0,0,0
verilib,,7,0,0,0
qalırdı,,7,0,0,0
edilib,,6,0,0,0
alınıb,,6,0,0,0
edib,,4,0,0,0
hədələyib,,9,0,0,0
saxlanılıb,,10,0,0,0
alınıb,,6,0,0,0
aparılır,,8,0,0,0
açıqlanıb,,9,0,0,0
gözlənilir,,10,0,0,0
var,,3,0,0,0
əsəcək,,6,0,0,0
olacaq,,6,0,0,0
yüksələcək,,10,0,0,0
olacaq,,6,0,0,0
gözlənilir,,10,0,0,0
var,,3,0,0,0
olacaq,,6,0,0,0
əsəcək,,6,0,0,0
olacaq,,6,0,0,0
enib,,4,0,0,0
olub,,4,0,0,0
olub,,4,0,0,0
edilib,,6,0,0,0
tapşırılıb,,10,0,0,0
edilib,,6,0,0,0
keçirir,,7,0,0,0
yayıb,,5,0,0,0
hədəfləyir,,10,0,0,0
yetirirlər,,10,0,0,0
keçirir,,7,0,0,0
bilər,,5,0,0,0
bildiriblər,,11,0,0,0
keçirilib,,9,0,0,0
ediblər,,7,0,0,0
yenidir,,7,0,0,0
verilib,,7,0,0,0
qənaətbəxşdir,,13,0,0,0
göstərilir,,10,0,0,0
mövcudur,,8,0,0,0
göstərməkdədir,,14,0,0,0
yoxlanılıb,,10,0,0,0
alınıb,,6,0,0,0
edilib,,6,0,0,0
alınıb,,6,0,0,0
amillərdəndir,,13,0,0,0
çağırır,,7,0,0,0
olunub,,6,0,0,0
endirib,,7,0,0,0
açıqlayıb,,9,0,0,0
daşıyır,,7,0,0,0
açıqlayıb,,9,0,0,0
bildirib,,8,0,0,0
bildirib,,8,0,0,0
əlaqələndirib,,13,0,0,0
vurğulayıb,,10,0,0,0
bildirib,,8,0,0,0
edib,,4,0,0,0
daşıyırdı,,9,0,0,0
keçirir,,7,0,0,0
yayıb,,5,0,0,0
hədəfləyir,,10,0,0,0
yetirirlər,,10,0,0,0
keçirir,,7,0,0,0
bilər,,5,0,0,0
bildiriblər,,11,0,0,0
keçib,apa,5,3,0,1
yayıb,qeyd,5,4,0,1
ölüb,yaralıların,4,11,0,1
bildirilib,xatırladaq,10,10,0,1
edir,,4,0,0,0
alıb,apa,4,3,0,1
alınıb,,6,0,0,0
toqquşub,qəza,8,4,0,1
alıblar,,7,0,0,0
çatdırılıblar,onların,13,7,0,1
etdirilir,faktla,9,6,0,1
aparılır,,8,0,0,0
olunub,zahid,6,5,0,1
edilib,qeyd,6,4,0,1
olunub,zahid,6,5,0,1
etdirir,,7,0,0,0
ölüb,apa,4,3,0,1
yayıb,qeyd,5,4,0,1
olub,,4,0,0,0
,,0,0,1,0
edir,apa,4,3,0,1
görülür,,7,0,0,0
,,0,0,1,0
alovlanıb,apa,9,3,0,1
yayıb,bildirilib,5,10,0,1
olub,yanan,4,5,0,1
edilib,,6,0,0,0
,,0,0,1,0
olub,apa,4,3,0,1
yayıb,məlumata,5,8,0,1
yerləşib,dağıntılar,8,10,0,1
yoxdur,,6,0,0,0
düşüblər,apa,8,3,0,1
verib,,5,0,0,0
çırpılıb,,8,0,0,0
f,,1,0,0,0
